order_id,session_id,customer_id,total_amount,discount_amount,payment_method,status,created_at
1,sess_000003,398,34479.31,0.0,CREDIT_CARD,COMPLETED,2026-07-16 03:55:53
2,sess_000010,245,470.42,0.0,COD,COMPLETED,2026-07-17 09:31:12
3,sess_000012,289,57027.0,0.0,CREDIT_CARD,COMPLETED,2026-08-01 03:23:05
4,sess_000013,180,24226.27,0.0,NET_BANKING,COMPLETED,2026-07-30 02:46:18
5,sess_000019,414,48334.2,0.0,NET_BANKING,COMPLETED,2026-07-16 05:10:32
6,sess_000021,423,57687.89,0.0,NET_BANKING,COMPLETED,2026-07-31 07:12:54
7,sess_000022,402,50593.87,0.0,CREDIT_CARD,COMPLETED,2026-07-23 18:04:38
8,sess_000031,452,11269.93,0.0,CREDIT_CARD,COMPLETED,2026-07-26 20:04:28
9,sess_000032,246,19975.03,0.0,NET_BANKING,COMPLETED,2026-07-30 18:39:30
10,sess_000042,315,71501.83,0.0,CREDIT_CARD,COMPLETED,2026-07-10 09:53:58
11,sess_000043,153,470.42,0.0,NET_BANKING,COMPLETED,2026-07-21 07:57:59
12,sess_000044,422,7441.9,0.0,UPI,COMPLETED,2026-08-01 18:54:27
13,sess_000047,495,30515.02,0.0,UPI,COMPLETED,2026-07-29 22:01:39
14,sess_000049,283,38914.59,0.0,COD,COMPLETED,2026-07-12 00:18:59
15,sess_000052,117,44191.65,0.0,CREDIT_CARD,COMPLETED,2026-07-12 13:52:10
16,sess_000054,185,21135.8,0.0,UPI,COMPLETED,2026-07-24 07:30:10
17,sess_000055,301,69353.96,0.0,NET_BANKING,COMPLETED,2026-07-10 15:57:55
18,sess_000056,263,34943.9,0.0,UPI,COMPLETED,2026-08-02 04:14:53
19,sess_000059,349,53710.77,0.0,CREDIT_CARD,COMPLETED,2026-07-30 10:31:41
20,sess_000062,37,49203.99,0.0,NET_BANKING,COMPLETED,2026-07-17 11:48:07
21,sess_000064,220,53069.77,0.0,NET_BANKING,COMPLETED,2026-08-06 06:35:26
22,sess_000065,160,42206.32,0.0,NET_BANKING,COMPLETED,2026-08-05 23:14:01
23,sess_000067,193,34536.05,0.0,CREDIT_CARD,COMPLETED,2026-08-06 02:07:24
24,sess_000070,152,29947.02,0.0,CREDIT_CARD,COMPLETED,2026-08-01 01:18:42
25,sess_000072,448,25579.73,0.0,COD,COMPLETED,2026-07-15 20:45:50
26,sess_000077,259,29844.76,0.0,CREDIT_CARD,COMPLETED,2026-07-14 08:00:10
27,sess_000083,24,23638.97,0.0,UPI,COMPLETED,2026-07-17 04:44:34
28,sess_000084,248,112095.62,0.0,NET_BANKING,COMPLETED,2026-07-12 20:26:40
29,sess_000090,194,37899.19,0.0,COD,COMPLETED,2026-08-02 04:46:09
30,sess_000092,114,24226.27,0.0,COD,COMPLETED,2026-08-01 03:45:38
31,sess_000096,295,98825.37,0.0,COD,COMPLETED,2026-07-18 10:59:27
32,sess_000100,93,15251.23,0.0,COD,COMPLETED,2026-07-21 22:14:12
33,sess_000103,250,8878.17,0.0,COD,COMPLETED,2026-07-30 20:00:33
34,sess_000104,16,17732.38,0.0,COD,COMPLETED,2026-08-06 06:02:20
35,sess_000105,69,72833.79,0.0,UPI,COMPLETED,2026-08-07 02:07:53
36,sess_000109,416,49704.3,0.0,CREDIT_CARD,COMPLETED,2026-08-01 04:40:04
37,sess_000114,245,11269.93,0.0,COD,COMPLETED,2026-08-02 00:40:55
38,sess_000121,146,57513.88,0.0,NET_BANKING,COMPLETED,2026-07-19 18:10:57
39,sess_000122,485,57074.05,0.0,NET_BANKING,COMPLETED,2026-07-24 11:54:13
40,sess_000125,447,33938.58,0.0,COD,COMPLETED,2026-07-31 03:38:43
41,sess_000126,315,83085.41,0.0,UPI,COMPLETED,2026-07-19 14:06:52
42,sess_000127,245,61356.23,0.0,CREDIT_CARD,COMPLETED,2026-07-11 01:24:52
43,sess_000129,187,24109.39,0.0,UPI,COMPLETED,2026-08-03 05:04:46
44,sess_000130,243,66828.13,0.0,COD,COMPLETED,2026-07-10 03:19:22
45,sess_000131,417,45078.48,0.0,NET_BANKING,COMPLETED,2026-07-15 13:23:13
46,sess_000133,465,58442.89,0.0,CREDIT_CARD,COMPLETED,2026-07-28 13:58:37
47,sess_000135,281,1353.46,0.0,UPI,COMPLETED,2026-07-14 21:56:32
48,sess_000137,91,56415.68,0.0,CREDIT_CARD,COMPLETED,2026-07-18 02:58:59
49,sess_000142,191,33955.92,0.0,COD,COMPLETED,2026-07-14 19:47:36
50,sess_000143,99,15251.23,0.0,NET_BANKING,COMPLETED,2026-07-14 16:20:37
51,sess_000150,338,57531.23,0.0,CREDIT_CARD,COMPLETED,2026-07-21 19:32:34
