session_id,customer_id,device_type,operating_system,ip_address,start_time,end_time,is_weekend,is_night,session_duration_sec,cart_value,items_count,checkout_attempts,payment_failures,cart_revisit_count,is_abandoned,status
sess_000001,364,DESKTOP,macOS,103.52.42.145,2026-08-07 17:06:04,2026-08-07 17:10:33,0,0,269,60662.82,3,0,0,1,1,ABANDONED
sess_000002,58,TABLET,Android,103.78.187.139,2026-07-12 23:12:04,2026-07-12 23:40:42,1,1,1718,89164.82,4,4,2,3,1,PAYMENT_FAILED
sess_000003,398,MOBILE,iOS,103.217.179.221,2026-07-16 03:48:04,2026-07-16 03:55:53,0,1,469,34479.31,2,2,0,1,0,CONVERTED
sess_000004,306,TABLET,iOS,103.92.149.75,2026-07-20 15:30:04,2026-07-20 15:45:30,0,0,926,65051.07,2,1,0,3,1,ABANDONED
sess_000005,360,MOBILE,iOS,103.47.164.213,2026-07-31 01:33:04,2026-07-31 01:38:25,0,1,321,60875.27,2,0,0,2,1,ABANDONED
sess_000006,232,MOBILE,Android,103.113.142.178,2026-07-09 12:02:04,2026-07-09 12:07:56,0,0,352,74255.86,3,0,0,2,1,ABANDONED
sess_000007,436,MOBILE,macOS,103.65.219.212,2026-08-01 07:44:04,2026-08-01 07:48:21,1,0,257,72794.48,3,0,0,2,1,ABANDONED
sess_000008,24,MOBILE,macOS,103.14.63.238,2026-07-11 19:14:04,2026-07-11 19:24:05,1,0,601,47919.25,2,3,2,5,1,PAYMENT_FAILED
sess_000009,185,DESKTOP,Android,103.105.84.14,2026-07-26 03:16:04,2026-07-26 03:20:40,1,1,276,1823.88,2,0,0,3,1,ABANDONED
sess_000010,245,MOBILE,iOS,103.161.115.133,2026-07-17 09:26:04,2026-07-17 09:31:12,0,0,308,470.42,1,1,0,2,0,CONVERTED
sess_000011,245,MOBILE,iOS,103.108.45.188,2026-07-13 21:08:04,2026-07-13 21:16:29,0,0,505,52664.59,3,1,0,5,1,ABANDONED
sess_000012,289,MOBILE,iOS,103.122.179.185,2026-08-01 03:11:04,2026-08-01 03:23:05,1,1,721,57027.0,2,1,0,2,0,CONVERTED
sess_000013,180,DESKTOP,Windows,103.212.71.64,2026-07-30 02:37:04,2026-07-30 02:46:18,0,1,554,24226.27,1,1,0,2,0,CONVERTED
sess_000014,266,TABLET,iOS,103.201.200.76,2026-07-18 22:46:04,2026-07-18 23:09:14,1,0,1390,35595.91,2,2,2,2,1,PAYMENT_FAILED
sess_000015,163,MOBILE,macOS,103.230.215.94,2026-07-21 01:19:04,2026-07-21 01:31:33,0,1,749,29947.02,1,2,2,2,1,PAYMENT_FAILED
sess_000016,31,DESKTOP,Windows,103.170.212.109,2026-07-16 10:54:04,2026-07-16 11:02:08,0,0,484,52364.96,3,1,0,4,1,ABANDONED
sess_000017,325,TABLET,Android,103.89.223.187,2026-07-08 16:29:04,2026-07-08 16:42:00,0,0,776,16078.93,1,2,1,5,1,PAYMENT_FAILED
sess_000018,159,TABLET,iOS,103.40.6.182,2026-08-03 00:41:04,2026-08-03 01:08:00,0,1,1616,56133.29,3,2,1,4,1,PAYMENT_FAILED
sess_000019,414,DESKTOP,Windows,103.144.32.68,2026-07-16 04:57:04,2026-07-16 05:10:32,0,1,808,48334.2,3,1,0,2,0,CONVERTED
sess_000020,458,TABLET,Android,103.68.1.12,2026-07-12 00:12:04,2026-07-12 00:38:10,1,1,1566,59874.05,4,2,1,4,1,PAYMENT_FAILED
sess_000021,423,MOBILE,Windows,103.40.26.46,2026-07-31 07:01:04,2026-07-31 07:12:54,0,0,710,57687.89,4,1,0,1,0,CONVERTED
sess_000022,402,DESKTOP,iOS,103.128.188.152,2026-07-23 17:57:04,2026-07-23 18:04:38,0,0,454,50593.87,4,1,0,1,0,CONVERTED
sess_000023,54,MOBILE,iOS,103.117.251.247,2026-08-06 19:46:04,2026-08-06 20:04:52,0,0,1128,15751.54,1,1,0,5,1,ABANDONED
sess_000024,212,TABLET,Windows,103.127.43.149,2026-08-04 07:22:04,2026-08-04 07:31:00,0,0,536,24333.81,1,1,0,6,1,ABANDONED
sess_000025,223,TABLET,iOS,103.70.149.67,2026-07-11 13:52:04,2026-07-11 14:05:26,1,0,802,58165.18,3,1,0,5,1,ABANDONED
sess_000026,55,MOBILE,macOS,103.129.160.105,2026-08-04 06:20:04,2026-08-04 06:45:29,0,0,1525,90601.32,4,3,1,4,1,PAYMENT_FAILED
sess_000027,365,MOBILE,Windows,103.111.25.174,2026-07-29 15:45:04,2026-07-29 16:08:52,0,0,1428,39167.35,2,2,1,5,1,PAYMENT_FAILED
sess_000028,426,MOBILE,iOS,103.60.205.96,2026-07-17 03:07:04,2026-07-17 03:17:04,0,1,600,24333.81,1,0,0,3,1,ABANDONED
sess_000029,470,MOBILE,Android,103.26.101.232,2026-07-18 09:29:04,2026-07-18 09:37:55,1,0,531,58969.76,3,1,0,3,1,ABANDONED
sess_000030,255,MOBILE,macOS,103.184.218.45,2026-07-27 17:18:04,2026-07-27 17:37:37,0,0,1173,33303.0,2,2,2,5,1,PAYMENT_FAILED
sess_000031,452,TABLET,macOS,103.25.44.72,2026-07-26 19:56:04,2026-07-26 20:04:28,1,0,504,11269.93,1,2,0,1,0,CONVERTED
sess_000032,246,TABLET,macOS,103.98.164.100,2026-07-30 18:29:04,2026-07-30 18:39:30,0,0,626,19975.03,1,1,0,1,0,CONVERTED
sess_000033,415,DESKTOP,Windows,103.206.119.250,2026-08-02 21:12:04,2026-08-02 21:30:17,1,0,1093,30515.02,1,2,3,4,1,PAYMENT_FAILED
sess_000034,182,MOBILE,iOS,103.70.162.207,2026-07-15 00:49:04,2026-07-15 01:00:01,0,1,657,45675.63,2,3,3,4,1,PAYMENT_FAILED
sess_000035,29,MOBILE,iOS,103.15.244.1,2026-07-28 03:40:04,2026-07-28 03:50:10,0,1,606,25650.81,3,1,0,4,1,ABANDONED
sess_000036,397,MOBILE,Windows,103.255.37.96,2026-07-16 02:01:04,2026-07-16 02:14:29,0,1,805,51054.24,3,1,0,3,1,ABANDONED
sess_000037,90,TABLET,Windows,103.67.89.97,2026-07-29 01:07:04,2026-07-29 01:18:45,0,1,701,64926.68,2,1,0,4,1,ABANDONED
sess_000038,17,MOBILE,Windows,103.245.113.164,2026-07-20 21:04:04,2026-07-20 21:14:03,0,0,599,52939.03,2,0,0,2,1,ABANDONED
sess_000039,86,TABLET,Android,103.220.171.115,2026-08-07 15:34:04,2026-08-07 15:37:51,0,0,227,1664.26,1,0,0,1,1,ABANDONED
sess_000040,369,MOBILE,Android,103.108.224.188,2026-07-25 18:57:04,2026-07-25 19:06:36,1,0,572,69978.53,4,0,0,2,1,ABANDONED
